['potestad', 'dictar', 'texto']
['ley', 'modificar', 'plazo']
['decreto', 'someter', 'consulta']
['derogación', 'quedar', 'disposición']
['texto', 'aprobar', 'particular']
['medida', 'garantizar', 'estabilidad']
['medida', 'favorecer', 'continuidad']
['edad', 'promover', 'envejecimiento']
['medida', 'favorecer', 'contratación']
['comunidad', 'recibir', 'prestación']
['bien', 'recibir', 'prestación']
['persona', 'ceder', 'empresa']
['relación', 'regular', 'norma']
['empresa', 'rever', 'forma']
['empresa', 'comportar', 'realización']
['cabo', 'considerar', 'familiar']
['persona', 'intervenir', 'operación']
['fin', 'asumir', 'riesgo']
['operación', 'asumir', 'riesgo']
['trabajo', 'efectuar', 'desarrollo']
['efecto', 'entender', 'ámbito']
['derecho', 'corresponder', 'territorio']
['ley', 'considerar', 'centro']
['mar', 'considerar', 'centro']
['empresario', 'asumir', 'riesgo']
['abogado', 'prestar', 'servicio']
['trabajo', 'declarar', 'relación']
['relación', 'respetar', 'derecho']
['relación', 'regular', 'a']
['caso', 'establecer', 'perjuicio']
['disposición', 'desarrollar', 'precepto']
['precepto', 'establecer', 'norma']
['derecho', 'resolver', 'aplicación']
['costumbre', 'aplicar', 'defecto']
['acción', 'favorecer', 'empleabilidad']
['condición', 'desempeñar', 'trabajo']
['aptitud', 'desempeñar', 'trabajo']
['empleo', 'tratar', 'd']
['a', 'cumplir', 'obligación']
['diligencia', 'observar', 'medida']
['b', 'observar', 'medida']
['riesgo', 'adoptar', 'c']
['c', 'cumplir', 'orden']
['d', 'concurrir', 'actividad']
['permiso', 'constar', 'escrito']
['derecho', 'cumplir', 'deber']
['trabajo', 'celebrar', 'escrito']
['trabajo', 'exigir', 'disposición']
['extranjero', 'constar', 'escrito']
['semana', 'observar', 'exigencia']
['contrato', 'presumir', 'tiempo']
['parte', 'exigir', 'contrato']
['contrato', 'formalizar', 'escrito']
['empresario', 'comunicar', 'oficina']
['término', 'determinar', 'contenido']
['contrato', 'celebrar', 'prórroga']
['trabajo', 'celebrar', 'prórroga']
['empresario', 'entregar', 'representación']
['contrato', 'celebrar', 'escrito']
['fin', 'comprobar', 'adecuación']
['copia', 'contener', 'dato']
['imagen', 'afectar', 'intimidad']
['copia', 'entregar', 'empresario']
['trabajador', 'firmar', 'efecto']
['empleo', 'existir', 'representación']
['trabajador', 'formalizar', 'copia']
['copia', 'remitir', 'oficina']
['facultad', 'observar', 'sigilo']
['empresario', 'informar', 'escrito']
['elemento', 'figurar', 'contrato']
['condición', 'figurar', 'contrato']
['instancia', 'declarar', 'nulidad']
['parte', 'declarar', 'nulidad']
['contrato', 'resultar', 'trabajador']
['trabajador', 'exigir', 'trabajo']
['trabajador', 'conservar', 'respecto']
['empresario', 'celebrar', 'contrato']
['jefe', 'ostentar', 'representación']
['grupo', 'ostentar', 'representación']
['contrato', 'concertir', 'trabajador']
['puesto', 'permitir', 'obtención']
['trabajo', 'permitir', 'obtención']
['mes', 'exceder', 'año']
['ámbito', 'determinar', 'duración']
['duración', 'atender', 'característica']
['contrato', 'atender', 'característica']
['nacimiento', 'guardar', 'fin']
['adopción', 'guardar', 'fin']
['violencia', 'interrumpir', 'cómputo']
['género', 'interrumpir', 'cómputo']
['año', 'tratar', 'titulación']
['estudio', 'considerar', 'titulación']
['contrato', 'continuar', 'empresa']
['trabajador', 'continuar', 'empresa']
['empresa', 'concertar', 'periodo']
['periodo', 'computar', 'duración']
['prueba', 'computar', 'duración']
['aprendizaje', 'regir', 'regla']
['a', 'celebrar', 'trabajador']
['sistema', 'concertar', 'contrato']
['contrato', 'concertir', 'persona']
['convenio', 'establecer', 'duración']
['contrato', 'exceder', 'duración']
['trabajador', 'contratar', 'modalidad']
['contrato', 'desempeñar', 'anterioridad']
['trabajador', 'recibir', 'formación']
['red', 'referir', 'disposición']
['obstante', 'recibir', 'formación']
['empresa', 'disponer', 'instalación']
['formación', 'justificar', 'finalización']
['contrato', 'desarrollar', 'sistema']
['trabajo', 'favorecer', 'relación']
['actividad', 'incluir', 'formación']
['aprendizaje', 'fijar', 'proporción']
['formación', 'comprender', 'contingencia']
['aprendizaje', 'comprender', 'contingencia']
['prestación', 'incluir', 'desempleo']
['negociación', 'fijar', 'criterio']
['procedimiento', 'conseguir', 'presencia']
['contrato', 'entender', 'tiempo']
['trabajo', 'entender', 'tiempo']
['párrafo', 'entender', '«']
['tiempo', 'considerar', 'jornada']
['tiempo', 'concertar', 'tiempo']
['tiempo', 'entender', 'tiempo']
['tiempo', 'concertir', 'trabajo']
['tiempo', 'regir', 'regla']
['contrato', 'figurar', 'número']
['contrato', 'presumir', 'jornada']
['empresario', 'conservar', 'resumen']
['tiempo', 'corresponder', 'atención']
['derecho', 'reconocer', 'disposición']
['tiempo', 'garantizar', 'caso']
['fin', 'posibilitar', 'movilidad']
['empresario', 'informar', 'trabajador']
['manera', 'formular', 'solicitud']
['procedimiento', 'establecer', 'convenio']
['solicitud', 'referir', 'párrafo']
['párrafo', 'tomar', 'consideración']
['solicitud', 'notificar', 'empresario']
['convenio', 'establecer', 'medida']
['medida', 'facilitar', 'acceso']
['fin', 'favorecer', 'progresión']
['empresario', 'exigir', 'realización']
['hora', 'acordar', 'momento']
['pacto', 'formalizar', 'escrito']
['hora', 'recoger', 'número']
['convenio', 'establecer', 'porcentaje']
['convenio', 'establecer', 'plazo']
['hora', 'quedar', 'efecto']
['día', 'cumplir', 'año']
['vez', 'cumplir', 'año']
['pese', 'pactar', 'conducta']
['momento', 'ofrecer', 'trabajador']
['hora', 'constituir', 'conducta']
['hora', 'computar', 'efecto']
['hora', 'respetar', 'caso']
['trabajador', 'acceder', 'jubilación']
['disposición', 'acordar', 'empresa']
['empresa', 'concertar', 'contrato']
['objeto', 'sustituir', 'jornada']
['contrato', 'sustituir', 'trabajador']
['relevo', 'sustituir', 'trabajador']
['jubilación', 'corresponder', 'conforme']
['contrato', 'concertir', 'jornada']
['relevo', 'concertir', 'jornada']
['trabajador', 'cumplir', 'requisito']
['contrato', 'ajustar', 'regla']
['relevo', 'ajustar', 'regla']
['relevo', 'celebrar', 'consecuencia']
['tiempo', 'faltar', 'trabajador']
['trabajador', 'alcanzar', 'edad']
['relevo', 'celebrar', 'duración']
['duración', 'prorrogar', 'acuerdo']
['periodo', 'extinguir', 'caso']
['caso', 'finalizar', 'periodo']
['contrato', 'alcanzar', 'duración']
['relevo', 'alcanzar', 'duración']
['resultado', 'sumar', 'año']
['relevo', 'celebrar', 'empresa']
['empresa', 'sustituir', 'parte']
['contrato', 'prorrogar', 'periodo']
['año', 'producir', 'jubilación']
['contrato', 'celebrar', 'jornada']
['relevo', 'celebrar', 'jornada']
['caso', 'existir', 'correspondencia']
['negociación', 'establecer', 'medida']
['trabajo', 'formalizar', 'escrito']
['distancia', 'formalizar', 'escrito']
['acuerdo', 'establecer', 'contrato']
['derecho', 'prestar', 'servicio']
['derecho', 'percibir', 'mínimo']
['empresario', 'establecer', 'medio']
['medio', 'asegurar', 'acceso']
['fin', 'favorecer', 'promoción']
['promoción', 'informar', 'trabajador']
['seguridad', 'resultar', 'aplicación']
['salud', 'resultar', 'aplicación']
['trabajador', 'ejercer', 'derecho']
['distancia', 'ejercer', 'derecho']
['caso', 'establecer', 'convenio']
['prueba', 'exceder', 'mes']
['experiencia', 'constituir', 'objeto']
['pacto', 'establecer', 'periodo']
['trabajador', 'desempeñar', 'función']
['suspensión', 'referir', 'artículo']
['maternidad', 'concurrir', 'motivo']
['maternidad', 'transcurrir', 'periodo']
['desistimiento', 'producir', 'efecto']
['contrato', 'producir', 'efecto']
['efecto', 'computar', 'tiempo']
['género', 'afectar', 'persona']
['contrato', 'concertar', 'tiempo']
['trabajo', 'concertar', 'tiempo']
['duración', 'celebrar', 'contrato']
['a', 'contratar', 'trabajador']
['ámbito', 'transcurrir', 'plazo']
['plazo', 'adquirir', 'condición']
['trabajador', 'adquirir', 'condición']
['ámbito', 'incluir', 'convenio']
['empresa', 'cubrir', 'contrato']
['momento', 'producir', 'causa']
['ámbito', 'modificar', 'duración']
['circunstancia', 'producir', 'supuesto']
['mes', 'superar', 'duración']
['convenio', 'determinar', 'actividad']
['c', 'tratar', 'trabajador']
['contrato', 'especificar', 'nombre']
['trabajo', 'especificar', 'nombre']
['sustitución', 'adquirir', 'condición']
['vez', 'transcurrir', 'plazo']
['empresario', 'notificar', 'representación']
['artículo', 'existir', 'obligación']
['obligación', 'entregar', 'copia']
['duración', 'adquirir', 'condición']
['aplicación', 'producir', 'sucesión']
['negociación', 'establecer', 'requisito']
['requisito', 'prevenir', 'utilización']
['trabajador', 'desempeñar', 'puesto']
['solución', 'incluir', 'contrato']
['continuidad', 'incluir', 'contrato']
['contrato', 'utilizar', 'empresa']
['contrato', 'considerar', 'parte']
['contrato', 'corresponder', 'atención']
['fin', 'garantizar', 'oportunidad']
['oportunidad', 'acceder', 'puesto']
['información', 'facilitar', 'anuncio']
['negociación', 'asegurar', 'transmisión']
['convenio', 'establecer', 'criterio']
['cualificación', 'favorecer', 'progresión']
['empresario', 'facilitar', 'escrito']
['trabajador', 'solicitar', 'escrito']
['tiempo', 'concertar', 'trabajo']
['fijo-discontinuo', 'concertar', 'trabajo']
['forma', 'determinar', 'convenio']
['caso', 'reclamar', 'procedimiento']
['incumplimiento', 'reclamar', 'procedimiento']
['jurisdicción', 'iniciar', 'plazo']
['orden', 'establecer', 'convenio']
['llamamiento', 'establecer', 'convenio']
['ámbito', 'acordar', 'peculiaridad']
['sector', 'justificar', 'celebración']
['orden', 'discriminar', 'decisión']
['decisión', 'suponer', 'trato']
['empresario', 'suponer', 'trato']
['objeto', 'facilitar', 'colocación']
['medida', 'fomentar', 'empleo']
['trabajador', 'encontrar', 'dificultad']
['dificultad', 'acceder', 'empleo']
['acción', 'favorecer', 'acceso']
['efecto', 'establecer', 'reserva']
['preferencia', 'contratar', 'persona']
['negociación', 'establecer', 'tipo']
['sexo', 'favorecer', 'acceso']
['realización', 'respetar', 'máximo']
['trabajador', 'contar', 'asistencia']
['trabajador', 'observar', 'trabajo']
['empresario', 'garantizar', 'trabajador']
['trabajador', 'seguir', 'formación']
['materia', 'requerir', 'empresario']
['escrito', 'adoptar', 'medida']
['petición', 'atender', 'plazo']
['día', 'dirigir', 'autoridad']
['resolución', 'requerir', 'empresario']
['empresario', 'adoptar', 'medida']
['seguridad', 'suspender', 'actividad']
['trabajo', 'estimar', 'riesgo']
['acuerdo', 'adoptar', 'decisión']
['acuerdo', 'comunicar', 'inmediato']
['contrato', 'deber', 'empresario']
['trabajador', 'deber', 'empresario']
['empresario', 'someter', 'prestación']
['medida', 'estimar', 'vigilancia']
['vigilancia', 'verificar', 'cumplimiento']
['control', 'verificar', 'cumplimiento']
['deber', 'guardar', 'adopción']
['empresario', 'verificar', 'estado']
['reconocimiento', 'determinar', 'suspensión']
['derecho', 'existir', 'cargo']
['empresario', 'estimar', 'concurrencia']
['dedicación', 'expresar', 'término']
['compensación', 'expresar', 'término']
['competencia', 'extinguir', 'contrato']
['empleo', 'comunicar', 'escrito']
['día', 'perder', 'caso']
['trabajador', 'recibir', 'especialización']
['año', 'formalizar', 'escrito']
['trabajador', 'abandonar', 'trabajo']
['trabajador', 'establecer', 'sistema']
['prestación', 'incluir', 'tarea']
['grupo', 'ajustar', 'criterio']
['objeto', 'garantizar', 'ausencia']
['grupo', 'establecer', 'contenido']
['función', 'desempeñar', 'tiempo']
['permiso', 'concurrir', 'examen']
['preferencia', 'elegir', 'turno']
['posibilidad', 'obtener', 'efecto']
['formación', 'considerar', 'caso']
['negociación', 'pactar', 'término']
['derecho', 'acomodar', 'criterio']
['criterio', 'garantizar', 'ausencia']
['sistema', 'garantizar', 'ausencia']
['derecho', 'entender', 'caso']
['derecho', 'referir', 'apartado']
['disfrute', 'fijar', 'acuerdo']
['permiso', 'fijar', 'acuerdo']
['clasificación', 'producir', 'conforme']
['caso', 'producir', 'cuenta']
['ascenso', 'producir', 'cuenta']
['empresa', 'ajustar', 'criterio']
['objetivo', 'garantizar', 'ausencia']
['hombre', 'establecer', 'medida']
['acción', 'eliminar', 'situación']
